Order ID,Sub orderid,Creator username,Creator tag ID,Product Name,SKU,Product ID,Price,Quantity,Shop name,Shop code,Currency,Order Status,Content Type,Content id,Standard commission rate,Commission bonus rate,Creative commission rate,Creator commission reward rate,Estimated commission base,Est. standard commission,Est. commission bonus,Est. creative commission,Est. creator commission reward fee,Actual commission base,Actual standard commission,Actual commission bonus,Actual creative commission,Actual creator commission reward fee,Creator tax,Agency commission,Agency commission bonus,Agency creative commission,Creator agency commission reward fee,Total agency commission,Quantity returned,Quantity refunded,Invitation ID,Agency commission rate,Time order created,Time order delivered,Time Commission Paid,Payment ID,Payment method,Payment account,IVA,ISR,Platform,Attribution type,commission model
580081226601563240,580081226601694312,racunbelanjakuyyyy,OEM2_VIVO_PUSH,Ready Stock TUMMIVA KRIM perut kembung membantu menjaga area perut,1 tum,1732128272457500185,88200,1,Djampi Waras,IDLCUDLG2T,IDR,Processing,Link share,OEM3_OPPO,4.25,,,,88200,3749,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:53:04,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580081158501139471,580081158501336079,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Tumbler Mug Telur Eggo Coffee Travel Cup 350ml / Mug Egg Souvenir  Gelas  Stainless  Steel Vacuum,BIRU,1729426439712181246,32205,1,Blooming_deal,IDLC2NLL4W,IDR,Processing,Link share,OEM3_OPPO,3.5,,,,32205,1127,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:45:18,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580081158562613234,580081158562744306,racunbelanjakuyyyy,OEM3_OPPO_PUSH,WIN- BODY KASAR MIO SPORTY-MIO SMILE  5TL / COVER BODY KASAR MIO SPORTY MIO SMILE 5TL,KOLONG,1731143136051889906,60000,1,ARM STORE21,IDLCP9WTT7,IDR,Processing,Link share,OEM3_OPPO,1,,,,60000,600,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:45:09,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580081147403339209,580081147403470281,racunbelanjakuyyyy,OEM2_VIVO_PUSH,BOXER PRIA PREMIUM ISI 3-6PCS KARET GOLD KATUN ADEM LEMBUT SIZE M.L.XL.XXL,"6PCS, L",1729588643961015246,85000,1,TANJUNG UNDERWEAR,IDLCJRL2B6,IDR,Processing,Link share,OEM3_OPPO,3.5,,,,85000,2975,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:40:14,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580081092394124802,580081092394255874,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Softcase Standing Ring Kamera Case Kompatibel for R3alme 13 Plus 13 Pro 13 Pro Plus,"HITAM, REALME 13 PLUS",1730783335881868938,12000,1,LEVIDA,IDLCFTLL8S,IDR,Processing,Link share,OEM3_OPPO,5.75,,,,12000,690,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:36:08,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580080990278289146,580080990278420218,racunbelanjakuyyyy,OEM3_OPPO_PUSH,OMG Oh My Glam Mattelast Lip Cream - Pewarna Bibir Lipstick Lipcream Lipstik omg  bagus Waterproof Liquid  Lipgloss Kosmetik Lasting,27-Strike,1729724772723951564,21623,1,Indobeautynesia,IDLCWTWWAD,IDR,Processing,Link share,OEM3_OPPO,0.75,,,,21623,162,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:19:26,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580080982363375605,580080982363506677,racunbelanjakuyyyy,OEM3_OPPO_PUSH,TIMETOSPORT Jaket Olahraga Wanita Yoga Fittness Gym Fit Body Lengan Panjang 1071,"BLACK, L",1729586543858648452,87875,1,TIMETOSPORT,IDLCVLLTFW,IDR,Processing,Link share,OEM3_OPPO,4,,,,87875,3515,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:15:48,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580080874201843199,580080874201974271,racunbelanjakuyyyy,OEM3_OPPO_PUSH,Makarizo Advisor Hair & Scalp Tonic 145mL - 2 in 1 Untuk Rambut Rontok dan Ketombe / Memperkuat Akar Rambut / Haircare Extract / Menebalkan / Perawatan,Tonic 145 mL,1729439463672547602,52535,1,Makarizo Advisor,IDLC2ELLNY,IDR,Processing,Link share,OEM3_OPPO,2.5,,,,52535,1313,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 23:04:57,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580080812727436416,580080812727567488,racunbelanjakuyyyy,OEM3_OPPO_PUSH,TOZO AEROSOUND3 Smart 6 mics Hybrid ANC + AI 4 Mics ENC Wireless Earbuds Clear Calls powerful bass Earphone Bluetooth 5.4 IPX5 32 EQ Customization via App Crystal Case Design Low Latency Game Mode TWS,Black,1731209438631593975,278148,1,Surya Jaya Group,IDLCQ2LLQP,IDR,Cancelled,Link share,OEM3_OPPO,1,,,,278148,2781,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 22:55:42,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
580080789289338199,580080789289534807,racunbelanjakuyyyy,OEM3_OPPO_PUSH,[BARU] BEBLISS  Eau De perfume Romantic series ecer unisex parfume Shimmer Spray premium wangi tahan lama Pria Wanita,Timeless love,1730940897965999175,100,1,¥RE id,IDLCKXLLLP,IDR,Processing,Link share,OEM3_OPPO,5,,,,100,5,,,,,,,,,,,,,,,0,0,0,99,21/08/2025 22:55:38,/,/,/,Bank account,/,,,TTS,Indirect,fixed commission
