Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,adn_test,aff_sub,aff_sub2,aff_sub3,aff_sub4,aff_sub5
Face-MG,973,Shopee ID KOL Tier 2,209753951214771,existing-indirect,PENDING,2025-08-22 08:41:26,2025-08-24 23:59:00,--,Aksesoris Fashion,250825NX5FW2VS_p-i.1556377830.27290161866_238018325335_,70000.0,1,70000.0,1274.00,195525629,110212,--,NOT_NEEDED,0,2025-08-25 22:27:10,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&conv_status=0&adn_country=United+States&conv_revenue=1274&e_value=70000&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Aksesoris+Fashion&action_id=30&aff_sub=DL_71&traffic_time=2025-08-22T08%3A41%3A26&aff_sub2=Shopee&aff_sub3=ID&order_id=195525629&aff_sub4=VIVO&aff_sub5=PUSH_AUG2&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,--,DL_71,Shopee,ID,VIVO,PUSH_AUG2
Face-MG,966,Shopee ID NON KOL,209753997273056,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Olahraga & Outdoor,250825NX6UTQH9_p-i.231999779.40351621087_290132033817_Bawahan+Olahraga,0.0,1,0.0,0.00,195450164,108007,--,NOT_NEEDED,0,2025-08-25 21:05:03,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=0&e_value=0&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Olahraga+%26+Outdoor&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450164&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753987295497,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Audio,250825NX6JA2SH_p-i.147047052.2223472092_32348162846_Speaker,90000.0,1,90000.0,1260.00,195450183,108007,--,NOT_NEEDED,0,2025-08-25 21:17:06,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=1260&e_value=90000&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Audio&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450183&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753981285826,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Sepatu Wanita,250825NX6CJMB3_p-i.15421024.7859326231_41542303502_,301423.0,1,301423.0,4220.00,195450185,108007,--,NOT_NEEDED,0,2025-08-25 21:12:07,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=4220&e_value=301423&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Sepatu+Wanita&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450185&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753972292187,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Pakaian Wanita,250825NX640GDP_p-i.72219298.19257400544_164880007275_,126988.0,1,126988.0,1778.00,195450188,108007,--,NOT_NEEDED,0,2025-08-25 21:01:47,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=1778&e_value=126988&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Pakaian+Wanita&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450188&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753971232632,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Olahraga & Outdoor,250825NX6302UU_p-i.16973303.26227598798_227428041092_Camping+%26+Hiking,83000.0,1,83000.0,1162.00,195450189,108007,--,NOT_NEEDED,0,2025-08-25 21:04:09,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=1162&e_value=83000&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Olahraga+%26+Outdoor&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450189&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753962287434,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Ibu & Bayi,250825NX5TEVYH_p-i.196862264.7890272824_65666817365_Boneka+%26+Mainan+Boneka,0.0,1,0.0,0.00,195450196,108007,--,NOT_NEEDED,0,2025-08-25 21:12:44,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=0&e_value=0&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450196&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753951266550,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Komputer & Aksesoris,250825NX5FXRBV_p-i.253552292.12072150611_96702511117_Meja+%26+Stand+Laptop,47040.0,1,47040.0,659.00,195450197,108007,--,NOT_NEEDED,0,2025-08-25 21:16:03,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=659&e_value=47040&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Komputer+%26+Aksesoris&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450197&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753955250116,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Fashion Bayi & Anak,250825NX5KRCW5_p-i.33672504.24908074823_195837319279_Tas+%26+Koper,86400.0,1,86400.0,1210.00,195450199,108007,--,NOT_NEEDED,0,2025-08-25 21:13:51,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=1210&e_value=86400&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Fashion+Bayi+%26+Anak&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450199&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209753955250116,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-24 23:59:00,--,Perlengkapan Rumah,250825NX5KRCW5_p-i.33672504.41452578773_280213087979_Tempat+Penyimpanan+Makanan,185760.0,1,185760.0,2601.00,195450200,108007,--,NOT_NEEDED,0,2025-08-25 22:03:27,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Detroit&adn_test=1&conv_status=0&adn_country=United+States&conv_revenue=2601&e_value=185760&conv_time=2025-08-24T23%3A59&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=DL&traffic_time=2025-08-15T15%3A23%3A10&aff_sub2=Shopee&aff_sub3=ID&order_id=195450200&aff_sub4=XIAOMI&aff_sub5=PUSH&adn_d_type=ANDROID,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
